Frame,Tempo_Inferenza_ms,Confidenza_Media
391,37.11,0.0000
392,42.25,0.0000
393,37.31,0.0000
394,42.28,0.0000
395,39.69,0.0000
396,45.75,0.0000
397,46.29,0.0000
398,37.46,0.0000
399,39.83,0.5360
400,39.12,0.0000
401,43.86,0.5163
402,48.78,0.0000
403,39.85,0.0000
404,50.95,0.0000
405,38.98,0.0000
406,41.28,0.0000
407,37.34,0.5282
408,45.23,0.5374
409,36.96,0.5170
410,41.80,0.5068
411,37.21,0.5170
412,46.22,0.5336
413,35.67,0.5338
414,44.63,0.0000
415,42.10,0.5091
416,42.14,0.5157
417,36.51,0.5005
418,42.19,0.0000
419,41.65,0.5072
420,39.88,0.0000
421,36.05,0.5580
422,35.91,0.5578
423,42.63,0.7207
424,39.01,0.7107
425,42.40,0.6244
426,45.97,0.6596
427,36.20,0.6556
428,39.38,0.6519
429,42.01,0.6330
430,33.96,0.6317
431,43.12,0.6233
432,43.43,0.6505
433,42.53,0.6210
434,45.95,0.6229
435,48.21,0.5852
436,43.77,0.5980
437,38.15,0.6059
438,44.24,0.6283
439,38.18,0.6101
440,37.56,0.6099
441,46.18,0.5989
442,37.28,0.6013
443,38.05,0.5817
444,40.38,0.5987
445,44.62,0.5763
446,42.51,0.5815
447,40.44,0.6149
448,37.22,0.6254
449,39.34,0.6353
450,45.56,0.6623
451,35.68,0.6112
452,40.03,0.6149
453,37.55,0.6083
454,33.60,0.6383
455,39.54,0.6583
456,36.16,0.6507
457,39.73,0.6182
458,37.17,0.6230
459,36.34,0.6369
460,43.62,0.5870
461,36.46,0.5974
462,37.65,0.6193
463,40.54,0.6282
464,36.16,0.6273
465,39.38,0.6406
466,48.60,0.6434
467,42.17,0.6379
468,35.44,0.6369
469,36.68,0.6322
470,37.19,0.6287
471,40.86,0.5998
472,40.27,0.5951
473,39.01,0.6204
474,37.09,0.7047
475,44.39,0.7085
476,48.31,0.7075
477,40.35,0.7359
478,39.05,0.7230
479,43.83,0.7120
480,36.19,0.5987
481,53.62,0.5955
482,36.50,0.5974
483,32.69,0.6024
484,33.80,0.6973
485,37.87,0.7267
486,40.30,0.7173
487,41.52,0.7156
488,38.94,0.7164
489,41.37,0.7035
490,37.18,0.7077
491,42.11,0.7257
492,42.87,0.7037
493,38.47,0.6092
494,40.63,0.6115
495,35.87,0.6120
496,32.96,0.6173
497,43.74,0.5853
498,35.82,0.7175
499,37.06,0.7195
500,39.25,0.7231
501,46.88,0.6835
502,44.17,0.6488
503,37.76,0.6859
504,36.95,0.7017
505,38.91,0.7027
506,48.84,0.7037
507,37.07,0.7249
508,38.71,0.7388
509,41.56,0.7189
510,37.92,0.6965
511,66.14,0.6942
512,44.96,0.6981
513,34.13,0.6980
514,32.53,0.7042
515,38.04,0.6907
516,35.25,0.7015
517,37.01,0.7100
518,35.17,0.7184
519,40.31,0.7228
520,35.76,0.7210
521,36.98,0.7180
522,47.52,0.6636
523,43.19,0.6758
524,37.92,0.6665
525,36.53,0.6759
526,36.75,0.6704
527,31.57,0.6116
528,36.54,0.6113
529,39.78,0.6069
530,33.31,0.6091
531,38.52,0.7056
532,31.70,0.7334
533,37.56,0.6820
534,33.58,0.6685
535,39.95,0.6863
536,36.46,0.6743
537,44.39,0.6041
538,33.00,0.6327
539,37.11,0.6636
540,43.48,0.5430
541,38.36,0.0000
542,44.10,0.0000
543,40.97,0.0000
544,36.85,0.0000
545,52.52,0.0000
546,36.59,0.5209
547,42.35,0.5245
548,37.06,0.5340
549,42.01,0.5299
550,50.86,0.5663
551,41.27,0.6325
552,45.53,0.6314
553,34.09,0.5787
554,41.01,0.5971
555,40.44,0.6270
556,38.46,0.6588
557,35.75,0.6076
558,35.17,0.5527
559,37.26,0.5581
560,48.69,0.5590
561,36.19,0.5584
562,31.62,0.5961
563,47.11,0.5671
564,39.99,0.5566
565,37.34,0.5890
566,39.16,0.5895
567,36.67,0.6152
568,45.84,0.5898
569,41.43,0.6619
570,42.63,0.6822
571,50.21,0.6037
572,43.06,0.6060
573,38.21,0.5911
574,40.42,0.5828
575,48.27,0.6399
576,37.79,0.6082
577,42.94,0.5342
578,39.75,0.5424
579,40.06,0.5666
580,50.66,0.6533
581,34.42,0.6668
582,32.51,0.6640
583,42.34,0.7065
584,37.56,0.7041
585,35.28,0.7323
586,36.69,0.7111
587,37.24,0.6729
588,37.69,0.6276
589,45.62,0.5908
590,37.27,0.6229
591,37.60,0.6857
592,38.78,0.5677
593,34.11,0.6037
594,42.64,0.5804
595,38.43,0.0000
596,47.71,0.0000
597,33.53,0.5231
598,43.96,0.0000
599,45.97,0.0000
600,38.41,0.0000
601,41.91,0.5093
602,46.47,0.5014
603,40.29,0.5378
604,37.17,0.0000
605,37.67,0.0000
606,47.20,0.0000
607,31.02,0.0000
608,33.39,0.0000
609,33.92,0.0000
610,46.61,0.0000
611,43.67,0.0000
612,31.16,0.5418
613,30.50,0.0000
614,31.53,0.0000
615,37.63,0.0000
616,31.25,0.5072
617,35.40,0.0000
618,46.01,0.5050
619,36.67,0.0000
620,39.64,0.0000
621,35.92,0.0000
622,41.07,0.5703
623,44.33,0.5570
624,38.96,0.5607
625,47.75,0.5168
626,38.35,0.5237
627,50.47,0.5326
628,49.76,0.5470
629,51.42,0.5578
630,43.55,0.5731
631,49.09,0.5880
632,37.00,0.5891
633,37.19,0.6156
634,39.59,0.5841
635,38.03,0.6139
636,48.60,0.5980
637,40.26,0.5999
638,44.60,0.6024
639,33.78,0.6490
640,38.24,0.5531
641,35.71,0.5456
642,38.64,0.5805
